3,58,-3.985662,4.419840
4,58,-4.448158,4.530626
5,58,-4.127998,4.730192
6,58,-4.286093,4.024178
7,58,-4.788536,4.171424
8,58,-4.728661,4.502772
9,58,-4.269721,4.457177
0,59,-4.496821,4.086435
1,59,-4.633615,4.313296
2,59,-4.617404,4.689796
3,59,-3.984757,4.418643
4,59,-4.446604,4.530651
5,59,-4.127137,4.731420
6,59,-4.284913,4.023252
7,59,-4.789014,4.169997
8,59,-4.728509,4.501254
9,59,-4.267868,4.458532
0,60,-4.495915,4.085322
1,60,-4.632539,4.311593
2,60,-4.615978,4.689388
3,60,-3.983851,4.417448
4,60,-4.445045,4.530663
5,60,-4.126256,4.732634
6,60,-4.283733,4.022325
7,60,-4.789476,4.168568
8,60,-4.728350,4.499738
9,60,-4.265828,4.459973
0,61,-4.495007,4.084208
1,61,-4.631470,4.309913
2,61,-4.614550,4.688974
3,61,-3.982944,4.416253
4,61,-4.443487,4.530664
5,61,-4.125356,4.733833
6,61,-4.282555,4.021398
7,61,-4.789924,4.167134
8,61,-4.728182,4.498227
9,61,-4.263594,4.461495
0,62,-4.494097,4.083095
1,62,-4.630406,4.308257
2,62,-4.613121,4.688552
3,62,-3.982035,4.415060
4,62,-4.441973,4.530654
5,62,-4.124436,4.735019
6,62,-4.281377,4.020468
7,62,-4.790357,4.165696
8,62,-4.728006,4.496718
9,62,-4.261170,4.463082
0,63,-4.493185,4.081981
1,63,-4.629348,4.306622
2,63,-4.611691,4.688123
3,63,-3.981126,4.413867
4,63,-4.440513,4.530634
5,63,-4.123498,4.736189
6,63,-4.280200,4.019538
7,63,-4.790777,4.164253
8,63,-4.727823,4.495212
9,63,-4.258583,4.464709
0,64,-4.492272,4.080867
1,64,-4.628295,4.305007
2,64,-4.610258,4.687686
3,64,-3.980215,4.412675
4,64,-4.439109,4.530603
5,64,-4.122542,4.737345
6,64,-4.279024,4.018607
7,64,-4.791184,4.162803
8,64,-4.727631,4.493709
9,64,-4.255870,4.466341
0,65,-4.491357,4.079752
1,65,-4.627247,4.303412
2,65,-4.608825,4.687243
3,65,-3.979303,4.411484
4,65,-4.437760,4.530564
5,65,-4.121569,4.738486
6,65,-4.277849,4.017675
7,65,-4.791579,4.161347
8,65,-4.727431,4.492208
9,65,-4.253085,4.467943
0,66,-4.490440,4.078638
1,66,-4.626204,4.301836
2,66,-4.607394,4.686792
3,66,-3.978390,4.410294
4,66,-4.436460,4.530517
5,66,-4.120578,4.739613
6,66,-4.276674,4.016742
7,66,-4.791960,4.159883
8,66,-4.727223,4.490711
9,66,-4.250283,4.469482
0,67,-4.489522,4.077523
1,67,-4.625164,4.300278
2,67,-4.605965,4.686337
3,67,-3.977476,4.409104
4,67,-4.435200,4.530461
5,67,-4.119570,4.740723
6,67,-4.275501,4.015808
7,67,-4.792330,4.158412
8,67,-4.727007,4.489215
9,67,-4.247513,4.470933
0,68,-4.488603,4.076407
1,68,-4.624128,4.298736
2,68,-4.604538,4.685874
3,68,-3.976561,4.407916
4,68,-4.433976,4.530398
5,68,-4.118546,4.741819
6,68,-4.274328,4.014872
7,68,-4.792687,4.156932
8,68,-4.726783,4.487722
9,68,-4.244815,4.472281
0,69,-4.487681,4.075293
1,69,-4.623096,4.297210
2,69,-4.603113,4.685405
3,69,-3.975645,4.406728
4,69,-4.432779,4.530327
5,69,-4.117506,4.742899
6,69,-4.273157,4.013936
7,69,-4.793032,4.155444
8,69,-4.726551,4.486232
9,69,-4.242216,4.473519
0,70,-4.486759,4.074177
1,70,-4.622068,4.295699
2,70,-4.601690,4.684930
3,70,-3.974727,4.405542
4,70,-4.431604,4.530248
5,70,-4.116449,4.743964
6,70,-4.271986,4.012999
7,70,-4.793365,4.153946
8,70,-4.726311,4.484744
9,70,-4.239730,4.474650
0,71,-4.485834,4.073061
1,71,-4.621043,4.294201
2,71,-4.600269,4.684450
3,71,-3.973808,4.404356
4,71,-4.430449,4.530161
5,71,-4.115377,4.745014
6,71,-4.270815,4.012060
7,71,-4.793685,4.152440
8,71,-4.726062,4.483257
9,71,-4.237362,4.475680
0,72,-4.484908,4.071946
1,72,-4.620020,4.292717
2,72,-4.598851,4.683963
3,72,-3.972888,4.403171
4,72,-4.429310,4.530067
5,72,-4.114290,4.746047
6,72,-4.269646,4.011120
7,72,-4.793993,4.150924
8,72,-4.725806,4.481774
9,72,-4.235110,4.476615
0,73,-4.483981,4.070831
1,73,-4.619000,4.291246
2,73,-4.597434,4.683470
3,73,-3.971968,4.401987
4,73,-4.428184,4.529966
5,73,-4.113189,4.747066
6,73,-4.268477,4.010180
7,73,-4.794290,4.149399
8,73,-4.725542,4.480292
9,73,-4.232969,4.477468
0,74,-4.483052,4.069715
1,74,-4.617982,4.289786
2,74,-4.596019,4.682971
3,74,-3.971046,4.400804
4,74,-4.427071,4.529858
5,74,-4.112073,4.748068
6,74,-4.267310,4.009239
7,74,-4.794573,4.147865
8,74,-4.725269,4.478813
9,74,-4.230930,4.478245
0,75,-4.482121,4.068599
1,75,-4.616967,4.288337
2,75,-4.594606,4.682467
3,75,-3.970123,4.399621
4,75,-4.425969,4.529742
5,75,-4.110943,4.749054
6,75,-4.266142,4.008296
7,75,-4.794843,4.146322
8,75,-4.724989,4.477336
9,75,-4.228984,4.478956
0,76,-4.481189,4.067483
1,76,-4.615953,4.286898
2,76,-4.593196,4.681957
3,76,-3.969199,4.398439
4,76,-4.424877,4.529619
5,76,-4.109799,4.750025
6,76,-4.264976,4.007353
7,76,-4.795101,4.144770
8,76,-4.724700,4.475861
9,76,-4.227122,4.479609
0,77,-4.480256,4.066368
1,77,-4.614942,4.285469
2,77,-4.591787,4.681441
3,77,-3.968274,4.397259
4,77,-4.423795,4.529489
5,77,-4.108643,4.750980
6,77,-4.263811,4.006409
7,77,-4.795345,4.143209
8,77,-4.724405,4.474390
9,77,-4.225334,4.480210
0,78,-4.479321,4.065252
1,78,-4.613932,4.284049
2,78,-4.590381,4.680920
3,78,-3.967348,4.396079
4,78,-4.422721,4.529353
5,78,-4.107472,4.751919
6,78,-4.262646,4.005464
7,78,-4.795576,4.141639
8,78,-4.724101,4.472921
9,78,-4.223611,4.480767
0,79,-4.478384,4.064137
1,79,-4.612923,4.282638
2,79,-4.588976,4.680393
3,79,-3.966421,4.394899
4,79,-4.421655,4.529209
5,79,-4.106290,4.752841
6,79,-4.261482,4.004518
7,79,-4.795794,4.140062
8,79,-4.723789,4.471454
9,79,-4.221946,4.481284
0,80,-4.477447,4.063021
1,80,-4.611915,4.281234
2,80,-4.587574,4.679861
3,80,-3.965493,4.393721
4,80,-4.420597,4.529059
5,80,-4.105095,4.753748
6,80,-4.260319,4.003570
7,80,-4.795997,4.138476
8,80,-4.723470,4.469988
9,80,-4.220329,4.481766
0,81,-4.476508,4.061905
1,81,-4.610908,4.279838
2,81,-4.586174,4.679323
3,81,-3.964564,4.392543
4,81,-4.419546,4.528903
5,81,-4.103889,4.754639
6,81,-4.259157,4.002622
7,81,-4.796187,4.136884
8,81,-4.723143,4.468524
9,81,-4.218756,4.482217
0,82,-4.475567,4.060790
1,82,-4.609902,4.278450
2,82,-4.584775,4.678780
3,82,-3.963634,4.391366
4,82,-4.418500,4.528740
5,82,-4.102670,4.755514
6,82,-4.257995,4.001673
7,82,-4.796362,4.135284
8,82,-4.722808,4.467062
9,82,-4.217217,4.482640
0,83,-4.474626,4.059675
1,83,-4.608898,4.277068
2,83,-4.583379,4.678231
3,83,-3.962703,4.390191
4,83,-4.417460,4.528571
5,83,-4.101440,4.756373
6,83,-4.256834,4.000723
7,83,-4.796524,4.133678
8,83,-4.722465,4.465602
9,83,-4.215707,4.483039
0,84,-4.473682,4.058559
1,84,-4.607893,4.275692
2,84,-4.581985,4.677678
3,84,-3.961771,4.389015
4,84,-4.416424,4.528395
5,84,-4.100199,4.757215
6,84,-4.255673,3.999773
7,84,-4.796671,4.132066
8,84,-4.722115,4.464143
9,84,-4.214220,4.483417
0,85,-4.472738,4.057444
1,85,-4.606890,4.274323
2,85,-4.580593,4.677119
3,85,-3.960838,4.387841
4,85,-4.415391,4.528213
5,85,-4.098948,4.758042
6,85,-4.254514,3.998821
7,85,-4.796803,4.130449
8,85,-4.721758,4.462687
9,85,-4.212749,4.483775
0,86,-4.471792,4.056329
1,86,-4.605886,4.272959
2,86,-4.579204,4.676555
3,86,-3.959903,4.386667
4,86,-4.414361,4.528025
5,86,-4.097686,4.758853
6,86,-4.253356,3.997869
7,86,-4.796921,4.128827
8,86,-4.721393,4.461232
9,86,-4.211287,4.484116
0,87,-4.470845,4.055214
1,87,-4.604883,4.271600
2,87,-4.577816,4.675985
3,87,-3.958969,4.385494
4,87,-4.413332,4.527830
5,87,-4.096414,4.759647
6,87,-4.252197,3.996915
7,87,-4.797023,4.127202
8,87,-4.721021,4.459778
9,87,-4.209823,4.484443
0,88,-4.469896,4.054099
1,88,-4.603881,4.270247
2,88,-4.576430,4.675411
3,88,-3.958033,4.384322
4,88,-4.412303,4.527628
5,88,-4.095131,4.760426
6,88,-4.251040,3.995961
7,88,-4.797111,4.125573
8,88,-4.720641,4.458327
9,88,-4.208356,4.484756
0,89,-4.468946,4.052985
1,89,-4.602878,4.268899
2,89,-4.575046,4.674832
3,89,-3.957096,4.383150
4,89,-4.411272,4.527420
5,89,-4.093840,4.761189
6,89,-4.249883,3.995006
7,89,-4.797184,4.123941
8,89,-4.720254,4.456878
9,89,-4.206886,4.485057
0,90,-4.467995,4.051870
1,90,-4.601876,4.267556
2,90,-4.573665,4.674248
3,90,-3.956158,4.381979
4,90,-4.410238,4.527204
5,90,-4.092539,4.761936
6,90,-4.248727,3.994050
7,90,-4.797243,4.122306
8,90,-4.719861,4.455431
9,90,-4.205414,4.485343
0,91,-4.467043,4.050756
1,91,-4.600874,4.266217
2,91,-4.572285,4.673658
3,91,-3.955220,4.380809
4,91,-4.409201,4.526981
5,91,-4.091229,4.762667
6,91,-4.247572,3.993093
7,91,-4.797286,4.120670
8,91,-4.719460,4.453985
9,91,-4.203939,4.485617
0,92,-4.466089,4.049642
1,92,-4.599872,4.264883
2,92,-4.570908,4.673065
3,92,-3.954280,4.379640
4,92,-4.408158,4.526751
5,92,-4.089911,4.763381
6,92,-4.246418,3.992136
7,92,-4.797314,4.119033
8,92,-4.719053,4.452541
9,92,-4.202462,4.485878
0,93,-4.465135,4.048528
1,93,-4.598870,4.263553
2,93,-4.569532,4.672466
3,93,-3.953340,4.378471
4,93,-4.407109,4.526512
5,93,-4.088583,4.764081
6,93,-4.245264,3.991178
7,93,-4.797328,4.117397
8,93,-4.718638,4.451100
9,93,-4.200983,4.486125
0,94,-4.464179,4.047414
1,94,-4.597869,4.262228
2,94,-4.568159,4.671863
