MAP,40,-29,27,2
MAP,40,-32,32,2
MAP,40,-32,25,2
MAP,40,-28,31,1
MAP,40,-26,28,1
MAP,40,-30,29,1
MAP,40,-29,34,2
MAP,40,-32,26,2
MAP,40,-31,30,2
MAP,40,-29,28,1
MAP,40,-33,29,2
MAP,40,-35,32,2
MAP,40,-32,33,2
MAP,40,-29,35,2
MAP,40,-26,29,1
MAP,40,-25,26,2
MAP,40,-28,32,1
MAP,40,-32,34,2
MAP,40,-35,33,2
MAP,40,-32,27,2
MAP,40,-34,30,2
MAP,40,-28,33,2
MAP,40,-28,26,2
MAP,40,-31,31,1
MAP,40,-29,29,1
MAP,40,-27,30,1
MAP,40,-32,28,2
MAP,40,-32,35,2
MAP,40,-31,25,2
MAP,40,-31,32,2
MAP,40,-34,31,2
MAP,40,-25,28,-1
MAP,40,-28,27,2
MAP,40,-27,31,1
MAP,40,-35,27,2
MAP,50,-31,33,2
MAP,50,-25,29,-1
MAP,50,-31,26,2
MAP,50,-34,32,2
MAP,50,-28,28,1
MAP,50,-28,35,2
MAP,50,-30,30,1
MAP,50,-32,29,1
MAP,50,-27,25,2
MAP,50,-35,28,2
MAP,50,-27,32,2
MAP,50,-31,34,2
MAP,50,-31,27,2
MAP,50,-33,30,2
MAP,50,-35,29,2
MAP,50,-27,26,2
MAP,50,-30,31,1
MAP,50,-26,30,1
MAP,50,-28,29,1
MAP,50,-31,35,2
MAP,50,-33,31,2
MAP,50,-29,30,2
MAP,50,-30,32,2
MAP,50,-30,25,2
MAP,50,-31,28,1
MAP,50,-27,27,2
MAP,50,-26,31,1
MAP,50,-33,32,2
MAP,50,-30,26,2
MAP,50,-30,33,2
MAP,50,-29,31,1
MAP,50,-34,28,2
MAP,50,-33,25,2
MAP,50,-26,25,2
MAP,50,-27,28,1
MAP,50,-26,32,1
MAP,50,-31,29,1
MAP,50,-30,27,2
MAP,50,-32,30,2
MAP,50,-33,26,2
MAP,50,-30,34,2
MAP,50,-29,25,2
MAP,50,-25,30,-1
MAP,50,-29,32,1
MAP,50,-34,29,2
MAP,50,-27,29,1
MAP,50,-26,26,2
MAP,50,-26,33,-1
MAP,50,-29,26,2
MAP,50,-30,35,2
MAP,50,-32,31,2
MAP,50,-28,30,2
MAP,50,-33,27,2
MAP,50,-35,30,2
MAP,50,-29,33,2
MAP,50,-33,34,2
MAP,50,-30,28,1
MAP,50,-26,27,2
MAP,50,-25,31,-1
MAP,50,-33,35,2
MAP,50,-35,31,2
MAP,50,-33,28,2
MAP,50,-29,27,2
MAP,50,-32,32,2
MAP,50,-32,25,2
MAP,50,-26,28,1
MAP,50,-30,29,1
MAP,50,-29,34,2
MAP,50,-25,32,-1
MAP,50,-28,31,1
MAP,50,-32,26,2
MAP,50,-29,28,1
MAP,50,-33,29,2
MAP,50,-35,32,2
MAP,50,-32,33,2
MAP,50,-29,35,2
MAP,50,-26,29,1
MAP,50,-25,26,2
MAP,50,-28,32,1
MAP,50,-28,25,2
MAP,50,-31,30,1
MAP,50,-25,33,-1
MAP,50,-32,34,2
MAP,50,-35,33,2
MAP,50,-32,27,2
MAP,50,-34,30,2
MAP,50,-28,33,2
MAP,50,-28,26,2
MAP,50,-27,30,1
MAP,50,-29,29,1
MAP,50,-31,31,1
MAP,50,-32,35,2
MAP,50,-31,25,2
MAP,50,-31,32,2
MAP,50,-34,31,2
MAP,50,-25,28,-1
MAP,50,-28,27,2
MAP,50,-27,31,1
MAP,50,-35,27,2
MAP,50,-32,28,1
MAP,50,-24,32,-1
MAP,50,-28,34,2
MAP,60,-31,33,2
MAP,60,-31,26,2
MAP,60,-34,32,2
MAP,60,-28,28,1
MAP,60,-28,35,2
MAP,60,-30,30,1
MAP,60,-32,29,1
MAP,60,-27,25,2
MAP,60,-35,28,2
MAP,60,-27,32,2
MAP,60,-25,29,2
MAP,60,-31,34,2
MAP,60,-31,27,2
MAP,60,-33,30,2
MAP,60,-35,29,2
MAP,60,-27,26,2
MAP,60,-30,31,1
MAP,60,-28,29,1
MAP,60,-26,30,1
MAP,60,-24,34,2
MAP,60,-23,31,-1
MAP,60,-31,35,2
MAP,60,-33,31,2
MAP,60,-30,32,2
MAP,60,-30,25,2
MAP,60,-31,28,1
MAP,60,-27,27,2
MAP,60,-26,31,1
MAP,60,-24,35,2
MAP,60,-29,30,1
MAP,60,-34,27,2
MAP,60,-33,32,2
MAP,60,-30,26,2
MAP,60,-30,33,2
MAP,60,-29,31,1
MAP,60,-34,28,2
MAP,60,-33,25,2
MAP,60,-26,25,2
MAP,60,-27,28,1
MAP,60,-26,32,1
MAP,60,-31,29,1
MAP,60,-30,27,2
MAP,60,-33,26,2
MAP,60,-30,34,2
MAP,60,-29,25,2
MAP,60,-34,29,2
MAP,60,-27,29,1
MAP,60,-26,26,2
MAP,60,-26,33,-1
MAP,60,-25,30,1
MAP,60,-23,34,2
MAP,60,-32,30,1
MAP,60,-29,32,1
MAP,60,-29,26,2
MAP,60,-30,35,2
MAP,60,-28,30,2
MAP,60,-33,27,2
MAP,60,-35,30,2
MAP,60,-29,33,2
MAP,60,-33,34,2
MAP,60,-30,28,1
MAP,60,-26,27,2
MAP,60,-26,34,2
MAP,60,-32,31,1
MAP,60,-25,31,1
MAP,60,-23,35,2
MAP,60,-33,35,2
MAP,60,-35,31,2
MAP,60,-33,28,2
MAP,60,-29,27,2
MAP,60,-32,32,2
MAP,60,-32,25,2
MAP,60,-26,28,1
MAP,60,-29,34,2
MAP,60,-25,32,1
MAP,60,-28,31,1
MAP,60,-30,29,1
MAP,60,-32,26,2
MAP,60,-29,28,1
MAP,60,-33,29,2
MAP,60,-35,32,2
MAP,60,-32,33,2
MAP,60,-29,35,2
MAP,60,-25,26,2
MAP,60,-28,32,1
MAP,60,-28,25,2
MAP,60,-31,30,1
MAP,60,-25,33,-1
MAP,60,-24,30,-1
MAP,60,-26,29,1
MAP,60,-32,34,2
MAP,60,-35,33,2
MAP,60,-32,27,2
MAP,60,-34,30,2
MAP,60,-28,33,2
MAP,60,-28,26,2
MAP,60,-27,30,1
MAP,60,-29,29,1
MAP,60,-31,31,1
MAP,60,-25,34,2
MAP,60,-24,31,1
MAP,60,-32,35,2
MAP,60,-31,25,2
